id,sport,question,answer,difficulty,points,category_tag
351,NHL,Who holds the record for most career games by a goalie,Martin Brodeur - 1266,Hard,3,Records
352,NHL,Which team won the 2022 Stanley Cup,Colorado Avalanche,Easy,1,Championships
353,NHL,Who has the most career goals by a rookie,Teemu Selanne - 76,Medium,2,Records
354,NHL,What is the size of an NHL roster during a game,18 skaters plus 2 goalies,Medium,2,Rules
355,NHL,Who was the first European trained player to be a major NHL star,Borje Salming,Hard,3,History
356,NHL,Which player is known as Ovi,Alexander Ovechkin,Easy,1,Nicknames
357,NHL,Who has the most career overtime goals,Jaromir Jagr,Hard,3,Records
358,NHL,What is a delayed penalty,Penalty enforced after possession change,Medium,2,Rules
359,NHL,Who won the 2018 Stanley Cup,Washington Capitals,Easy,1,Championships
360,NHL,Which goalie has the best career goals against average,Dominik Hasek,Hard,3,Records
361,NHL,Who has the most career hat tricks,Wayne Gretzky - 50,Medium,2,Records
362,NHL,What is the crease,Area in front of goal for goalie protection,Easy,1,Rules
363,NHL,Who was the first player to score 50 goals in 50 games,Maurice Richard,Medium,2,History
364,NHL,Which team drafted Sidney Crosby,Pittsburgh Penguins,Easy,1,Players
365,NHL,Who has the most career playoff shutouts,Martin Brodeur,Hard,3,Records
366,NHL,What is a five hole goal,Shot between goalies legs,Easy,1,Quirky
367,NHL,Who won the 2006 Stanley Cup,Carolina Hurricanes,Easy,1,Championships
368,NHL,Which player is known as The Finnish Flash,Teemu Selanne,Easy,1,Nicknames
369,NHL,Who has the most career goals by a defenseman,Ray Bourque - 410,Hard,3,Records
370,NHL,What is a one timer,Immediate shot off a pass,Easy,1,Rules
371,NHL,Who won the 2015 Stanley Cup,Chicago Blackhawks,Easy,1,Championships
372,NHL,Which team relocated from Hartford to Carolina,Carolina Hurricanes,Medium,2,History
373,NHL,Who has the most career power play goals,Wayne Gretzky,Hard,3,Records
374,NHL,What is boarding,Illegal hit into boards,Medium,2,Rules
375,NHL,Who won the 2012 Stanley Cup,Los Angeles Kings,Easy,1,Championships
376,NHL,Which player is known as Mr Hockey,Gordie Howe,Easy,1,Nicknames
377,NHL,Who has the most career playoff wins as a goalie,Patrick Roy - 151,Medium,2,Records
378,NHL,What is a cross check,Using stick to push opponent,Medium,2,Rules
379,NHL,Who won the 1999 Stanley Cup,Dallas Stars,Easy,1,Championships
380,NHL,Which team relocated from Minnesota to Dallas,Dallas Stars,Medium,2,History
381,NHL,Who has the most career goals in playoffs,Wayne Gretzky - 122,Medium,2,Records
382,NHL,What is a penalty shot,Uncontested shot due to foul,Easy,1,Rules
383,NHL,Who won the 1991 Stanley Cup,Pittsburgh Penguins,Easy,1,Championships
384,NHL,Which player is known as The Flower,Marc Andre Fleury,Easy,1,Nicknames
385,NHL,Who has the most career assists in playoffs,Wayne Gretzky,Hard,3,Records
386,NHL,What is interference,Obstructing a player without puck,Medium,2,Rules
387,NHL,Who won the 1980 Stanley Cup,New York Islanders,Easy,1,Championships
388,NHL,Which team has won four straight Stanley Cups most recently,New York Islanders 1980 to 1983,Medium,2,History
389,NHL,Who has the most career game winning goals,Jaromir Jagr,Hard,3,Records
390,NHL,What is roughing,Minor altercation penalty,Easy,1,Rules
391,NHL,Who won the 2003 Stanley Cup,New Jersey Devils,Easy,1,Championships
392,NHL,Which player is known as The Moose,Mark Messier,Medium,2,Nicknames
393,NHL,Who has the most career playoff points by a defenseman,Paul Coffey,Hard,3,Records
394,NHL,What is a high sticking penalty,Contact with stick above shoulders,Medium,2,Rules
395,NHL,Who won the 1986 Stanley Cup,Montreal Canadiens,Easy,1,Championships
396,NHL,Which team has the fastest goal in NHL history,Los Angeles Kings - 5 seconds,Hard,3,Records
397,NHL,Who has the most career shots on goal,Ray Bourque,Hard,3,Records
398,NHL,What is a line change,Substituting players during play,Easy,1,Rules
399,NHL,Who won the 1970 Stanley Cup,Boston Bruins,Easy,1,Championships
400,NHL,Which player is known as The Russian Rocket,Pavel Bure,Easy,1,Nicknames
401,Golf,Who has won the most PGA Tour wins in history,Sam Snead - 82,Easy,1,Records
402,Golf,Who has won the most major championships,Jack Nicklaus - 18,Easy,1,Records
403,Golf,Where did Tiger Woods play collegiate golf,Stanford,Easy,1,Nicknames
404,Golf,What are the four major golf tournaments,Masters PGA Championship US Open The Open Championship,Easy,1,Events
405,Golf,Where is the Masters Tournament played,Augusta National Golf Club,Easy,1,Events
406,Golf,What is a hole in one,A tee shot that goes directly into the hole,Easy,1,Rules
407,Golf,Who has the most Masters wins,Tiger Woods and Jack Nicklaus tied at 6 for most era comparisons vary,Medium,2,Records
408,Golf,What is par in golf,Expected number of strokes for a hole,Easy,1,Rules
409,Golf,Who won the 2023 Masters Tournament,Jon Rahm,Easy,1,Events
410,Golf,What is a birdie,One stroke under par,Easy,1,Rules
411,Golf,Who won the most PGA Championships,Jack Nicklaus and Walter Hagen tied historically,Medium,2,Records
412,Golf,What is a bogey,One stroke over par,Easy,1,Rules
413,Golf,Who is known as Lefty,Phil Mickelson,Easy,1,Nicknames
414,Golf,What is the length of an 18 hole round typically,About 4 to 5 hours,Easy,1,Rules
415,Golf,Who has the most career PGA Tour money,Scottie Scheffler era leader varies,Medium,2,Records
416,Golf,What is a caddie,A person who carries a golfers bag and assists,Easy,1,Rules
417,Golf,Who won the 2022 Open Championship,Cameron Smith,Easy,1,Events
418,Golf,What is a eagle,Two strokes under par,Easy,1,Rules
419,Golf,Who is known as The Golden Bear,Jack Nicklaus,Easy,1,Nicknames
420,Golf,Which country hosts The Open Championship,United Kingdom,Easy,1,Events
421,Golf,Who has the most career PGA Tour wins among active players,PGA leader varies Rory McIlroy or others context dependent,Medium,2,Records
422,Golf,What is a double bogey,Two strokes over par,Easy,1,Rules
423,Golf,Who won the 2021 Masters Tournament,Hideki Matsuyama,Easy,1,Events
424,Golf,What is the green in golf,Area around the hole with short grass,Easy,1,Rules
425,Golf,Who has won the most US Opens,Willie Anderson Ben Hogan Bobby Jones and others tied historically,Hard,3,Records
426,Golf,What is a slice,A shot that curves sharply right for right handed players,Easy,1,Rules
427,Golf,Who won the 2020 Masters Tournament,Dustin Johnson,Easy,1,Events
428,Golf,What is a drive,First shot on a hole from tee box,Easy,1,Rules
429,Golf,Who is known as The Shark,Greg Norman,Easy,1,Nicknames
430,Golf,What is a handicap in golf,Number used to measure skill level,Easy,1,Rules
431,Golf,Who won the 2019 Masters Tournament,Tiger Woods,Easy,1,Events
432,Golf,What is a bunker,Sand filled hazard,Easy,1,Rules
433,Golf,Who has the longest recorded drive in PGA history,Michael Hoke Austin - 515 yards,Hard,3,Records
434,Golf,What is a fade,A controlled left to right shot,Easy,1,Rules
435,Golf,Who won the 2018 PGA Championship,Brooks Koepka,Easy,1,Events
436,Golf,What is a hook,A shot that curves left for right handed players,Easy,1,Rules
437,Golf,Who is known as The Big Easy,Ernie Els,Easy,1,Nicknames
438,Golf,What is match play,Scoring by holes won instead of total strokes,Medium,2,Rules
439,Golf,Who won the 2017 Masters Tournament,Sergio Garcia,Easy,1,Events
440,Golf,What is stroke play,Total number of strokes determines winner,Medium,2,Rules
441,Golf,Who has the most career European Tour wins,Seve Ballesteros or Lee Westwood depending on era context,Hard,3,Records
442,Golf,What is a mulligan,Practice shot not counted in official play,Easy,1,Quirky
443,Golf,Who won the 2016 Masters Tournament,Danny Willett,Easy,1,Events
444,Golf,What is the tee box,Starting area for each hole,Easy,1,Rules
445,Golf,Who is known as The Walrus,Craig Stadler,Easy,1,Nicknames
446,Golf,What is a scratch golfer,A golfer with zero handicap,Easy,1,Rules
447,Golf,Who won the 2015 Masters Tournament,Jordan Spieth,Easy,1,Events
448,Golf,What is the cut in golf tournaments,Reduction of field after certain rounds,Medium,2,Rules
449,College Football,Which school has won the most national championships,Alabama Crimson Tide - 18,Easy,1,Records
450,College Football,Who won the first College Football Playoff National Championship,Ohio State,Easy,1,Championships
451,College Football,What trophy is awarded to the best college player,Heisman Trophy,Easy,1,Awards
452,College Football,Who won the 2023 College Football Playoff National Championship,Georgia Bulldogs,Easy,1,Championships
453,College Football,Which team is known as the Fighting Irish,Notre Dame,Easy,1,Nicknames
454,College Football,Who is the all time passing yards leader in NCAA history,BJ Symons - 5800+ single season record era leader case varies,Hard,3,Records
455,College Football,What conference is Alabama in,SEC,Easy,1,Conferences
456,College Football,Which player won the 2023 Heisman Trophy,Jayden Daniels,Easy,1,Awards
457,College Football,What is the length of a college football field,100 yards,Easy,1,Rules
458,College Football,Which team is known as The Buckeyes,Ohio State,Easy,1,Nicknames
459,College Football,Who won the 2022 CFP National Championship,Georgia Bulldogs,Easy,1,Championships
460,College Football,What does NCAA stand for,National Collegiate Athletic Association,Easy,1,Organizations
461,College Football,Which school is known as the Longhorns,Texas,Easy,1,Nicknames
462,College Football,Who has the most Heisman Trophy wins by a school,Ohio State USC Oklahoma tied historically,Medium,2,Awards
463,College Football,What is a touchdown worth,6 points,Easy,1,Rules
464,College Football,Which team plays in the Big House,Michigan Wolverines,Easy,1,Stadiums
465,College Football,Who won the 2019 CFP National Championship,Clemson,Easy,1,Championships
466,College Football,Which quarterback won the Heisman in 2019,Joe Burrow,Easy,1,Awards
467,College Football,What is overtime in college football,Alternating possessions from opponent 25 yard line,Medium,2,Rules
468,College Football,Which school is known as the Crimson Tide,Alabama,Easy,1,Nicknames
469,College Football,Who holds the record for most career rushing yards in NCAA,FBS record Ron Dayne 6900+,Hard,3,Records
470,College Football,Which team is known as the Trojans,USC,Easy,1,Nicknames
471,College Football,What is a safety worth,2 points,Easy,1,Rules
472,College Football,Who won the 2018 CFP National Championship,Alabama,Easy,1,Championships
473,College Football,Which conference is Ohio State in,Big Ten,Easy,1,Conferences
474,College Football,Who is known as The U,Miami Hurricanes,Easy,1,Nicknames
475,College Football,What is a redshirt player,A player who sits out a season to extend eligibility,Medium,2,Rules
476,College Football,Who won the 2017 CFP National Championship,Clemson,Easy,1,Championships
477,College Football,Which school is known for the 12th Man,Texas A&M,Easy,1,Nicknames
478,College Football,Who has the most career passing touchdowns in NCAA history,Case Keenum - 155,Hard,3,Records
479,College Football,What is a bowl game,Postseason college football game,Easy,1,Rules
480,College Football,Who won the 2016 CFP National Championship,Alabama,Easy,1,Championships
481,College Football,Which team is known as the Sooners,Oklahoma,Easy,1,Nicknames
482,College Football,Who is the all time NCAA receiving yards leader,Corey Davis college record era varies,Hard,3,Records
483,College Football,What is a field goal worth,3 points,Easy,1,Rules
484,College Football,Which school is known as the Ducks,Oregon,Easy,1,Nicknames
485,College Football,Who won the 2015 CFP National Championship,Ohio State,Easy,1,Championships
486,College Football,What is a Hail Mary pass,Long desperation pass at end of half or game,Easy,1,Quirky
487,College Football,Which team is known as the Seminoles,Florida State,Easy,1,Nicknames
488,College Football,Who has the most career wins as a college coach,Joe Paterno - 409,Medium,2,Records
489,College Football,What is targeting in football,Illegal helmet to helmet contact,Medium,2,Rules
490,College Football,Who won the 2014 CFP National Championship,Ohio State,Easy,1,Championships
491,College Football,Which school is known as the Volunteers,Tennessee,Easy,1,Nicknames
492,College Football,Who holds the record for most points in a college game,Howard Griffith era records vary,Hard,3,Records
493,College Football,What is a two point conversion,Play after touchdown worth 2 points,Easy,1,Rules
494,College Football,Which team is known as the Badgers,Wisconsin,Easy,1,Nicknames
495,College Football,Who won the 2013 BCS National Championship,Florida State,Easy,1,Championships
496,College Football,What is the AP Poll,Weekly ranking of top college teams,Medium,2,Organizations
497,College Football,Which school is known as the Wildcats,Kentucky,Easy,1,Nicknames
498,College Football,Who won the 2012 BCS National Championship,Alabama,Easy,1,Championships
499,College Football,What is a pick six,Interception returned for touchdown,Easy,1,Rules
500,College Basketball,Which school has won the most NCAA men's championships,UCLA - 11,Easy,1,Records
501,College Basketball,Who won the 2023 NCAA Men's Championship,UConn Huskies,Easy,1,Championships
502,College Basketball,Who is the all time leading scorer in NCAA Division I men's basketball,Pete Maravich - 3667,Easy,1,Records
503,College Basketball,What tournament determines the NCAA champion,March Madness,Easy,1,Events
504,College Basketball,Which team is known as the Blue Devils,Duke,Easy,1,Nicknames
505,College Basketball,Who won the 2022 NCAA Men's Championship,Kansas Jayhawks,Easy,1,Championships
506,College Basketball,How long is the shot clock in college basketball,30 seconds,Easy,1,Rules
507,College Basketball,Which player is known as Zion,Zion Williamson,Easy,1,Nicknames
508,College Basketball,Who has the most NCAA tournament wins as a coach,John Wooden - UCLA era dominance,Medium,2,Records
509,College Basketball,Which school is known as the Tar Heels,North Carolina,Easy,1,Nicknames
510,College Basketball,Who won the 2018 NCAA Men's Championship,Virginia Cavaliers,Easy,1,Championships
511,College Basketball,What is a double double,Double digits in two statistical categories,Easy,1,Rules
512,College Basketball,Which player hit The Shot for North Carolina,Michael Jordan,Easy,1,Legends
513,College Basketball,Who is the all time NCAA women's scoring leader,Kelsey Plum - 3527,Medium,2,Records
514,College Basketball,Which school is known as the Wildcats,Kentucky,Easy,1,Nicknames
515,College Basketball,Who won the 2016 NCAA Men's Championship,Villanova Wildcats,Easy,1,Championships
516,College Basketball,What is a bracket in March Madness,Tournament prediction chart,Easy,1,Events
517,College Basketball,Which player is known as Coach K,K Mike Krzyzewski,Easy,1,Nicknames
518,College Basketball,Who has the most NCAA tournament appearances,Kansas Jayhawks,Medium,2,Records
519,College Basketball,What is a Cinderella team,Underdog team making deep tournament run,Easy,1,Quirky
520,College Basketball,Who won the 2015 NCAA Men's Championship,Duke Blue Devils,Easy,1,Championships
521,College Basketball,Which school is known as the Spartans,Michigan State,Easy,1,Nicknames
522,College Basketball,Who holds the record for most points in a single NCAA game,Frank Selvy - 100,Hard,3,Records
523,College Basketball,What is a one and done player,Player leaving for NBA after one year,Easy,1,Rules
524,College Basketball,Who won the 2021 NCAA Men's Championship,Baylor Bears,Easy,1,Championships
525,College Basketball,Which school is known as the Hoosiers,Indiana,Easy,1,Nicknames
526,College Basketball,Who has the most career NCAA assists,Ed Cota era leader UNC,Hard,3,Records
527,College Basketball,What is a fast break,Quick transition scoring play,Easy,1,Rules
528,College Basketball,Who won the 2019 NCAA Men's Championship,Virginia Cavaliers,Easy,1,Championships
529,College Basketball,Which player is known as The Brow,Anthony Davis,Easy,1,Nicknames
530,College Basketball,What is a technical foul,Unsportsmanlike conduct penalty,Easy,1,Rules
531,College Basketball,Who won the 2022 NCAA Women's Championship,South Carolina Gamecocks,Easy,1,Championships
532,College Basketball,Which player is known as Pistol Pete,Pete Maravich,Easy,1,Nicknames
533,College Basketball,Who has the most NCAA tournament wins as a player,Kemba Walker era leader context varies,Medium,2,Records
534,College Basketball,What is overtime in college basketball,Extra period after tie game,Easy,1,Rules
535,College Basketball,Which school is known as the Gators,Florida,Easy,1,Nicknames
536,College Basketball,Who won the 2014 NCAA Men's Championship,UConn Huskies,Easy,1,Championships
537,College Basketball,What is a three point line shot worth,3 points,Easy,1,Rules
538,College Basketball,Which coach has the most NCAA titles for women,Pat Summitt - 8,Easy,1,Records
539,College Basketball,Who is known as The Process,Joel Embiid (college at Kansas),Easy,1,Nicknames
540,College Basketball,Which school is known as the Buckeyes,Ohio State,Easy,1,Nicknames
541,College Basketball,Who won the 2008 NCAA Men's Championship,Kansas Jayhawks,Easy,1,Championships
542,College Basketball,What is a charge in basketball,Offensive foul for running into defender,Easy,1,Rules
543,College Basketball,Which player is known as Dame,Damian Lillard (Weber State),Easy,1,Nicknames
544,College Basketball,Who holds the record for most NCAA tournament points,Kemba Walker - 2011 run,Medium,2,Records
545,College Basketball,Which school is known as the Razorbacks,Arkansas,Easy,1,Nicknames
546,College Basketball,Who won the 2013 NCAA Men's Championship,Louisville Cardinals,Easy,1,Championships
547,College Basketball,What is a sixth man,A top bench player,Easy,1,Roles
548,College Basketball,Which team has the most Final Four appearances,North Carolina - 21,Medium,2,Records
549,College Basketball,Who is known as Swaggy P,Nick Young (USC),Easy,1,Nicknames
550,College Basketball,What is a buzzer beater,A shot made as time expires,Easy,1,Quirky
551,Soccer,Which country has won the most FIFA World Cups,Brazil - 5,Easy,1,Records
552,Soccer,Who is widely considered the greatest soccer player of all time,Pele,Easy,1,Legends
553,Soccer,Which player has won the most Ballon dOr awards,Lionel Messi - 8,Easy,1,Records
554,Soccer,What is the governing body of world soccer,FIFA,Easy,1,Organizations
555,Soccer,Which country hosted the 2022 World Cup,Qatar,Easy,1,Events
556,Soccer,Who is known as CR7,Cristiano Ronaldo,Easy,1,Nicknames
557,Soccer,Which club has won the most UEFA Champions League titles,Real Madrid - 15,Easy,1,Records
558,Soccer,What is a hat trick in soccer,Three goals in one match,Easy,1,Rules
559,Soccer,Which country won the 2018 World Cup,France,Easy,1,Events
560,Soccer,Who is Argentina's most famous modern player,Lionel Messi,Easy,1,Legends
561,Soccer,What is the length of a standard soccer match,90 minutes,Easy,1,Rules
562,Soccer,Which country won the first World Cup in 1930,Uruguay,Medium,2,History
563,Soccer,Who is the all time top scorer in men's international soccer,Cristiano Ronaldo - 128+,Easy,1,Records
564,Soccer,What is the penalty spot distance from goal,12 yards,Easy,1,Rules
565,Soccer,Which club is known as The Red Devils,Manchester United,Easy,1,Nicknames
566,Soccer,Who won the 2014 World Cup,Germany,Easy,1,Events
567,Soccer,Which country is famous for Tiki Taka style,Spain,Medium,2,Style
568,Soccer,Who scored the Hand of God goal,Diego Maradona,Easy,1,Legends
569,Soccer,What is offside in soccer,Attacker ahead of last defender when ball played,Medium,2,Rules
570,Soccer,Which club plays at Camp Nou,FC Barcelona,Easy,1,Teams
571,Soccer,Who has the most goals in World Cup history,Miroslav Klose - 16,Medium,2,Records
572,Soccer,What color card means a player is sent off,Red card,Easy,1,Rules
573,Soccer,Which country won Euro 2020,Italy,Easy,1,Events
574,Soccer,Who is known as The Egyptian King,Mohamed Salah,Easy,1,Nicknames
575,Soccer,Which club has the nickname The Gunners,Arsenal,Easy,1,Nicknames
576,Soccer,What is a clean sheet,No goals allowed in a match,Easy,1,Rules
577,Soccer,Who won the 2010 World Cup,Spain,Easy,1,Events
578,Soccer,Which player is known for the bicycle kick,Rivaldo (famous examples also Ronaldo CR7),Medium,2,Highlights
579,Soccer,What is VAR,Video Assistant Referee,Easy,1,Rules
580,Soccer,Which country has the most World Cup finals appearances,Germany - 8,Medium,2,Records
581,Soccer,Who is known as The Special One,Jose Mourinho,Easy,1,Nicknames
582,Soccer,What is a corner kick awarded for,Ball last touched by defending team crossing goal line,Easy,1,Rules
583,Soccer,Which club is based in Munich,Bayern Munich,Easy,1,Teams
584,Soccer,Who won the 2023 Champions League,Manchester City,Easy,1,Events
585,Soccer,What is a free kick,Restart after foul without penalty shot,Easy,1,Rules
586,Soccer,Which country won Copa America 2021,Argentina,Easy,1,Events
587,Soccer,Who holds the record for most goals in a calendar year,Lionel Messi - 91,Medium,2,Records
588,Soccer,Which club is known as The Old Lady,Juventus,Easy,1,Nicknames
589,Soccer,What is stoppage time,Extra time added for delays,Easy,1,Rules
590,Soccer,Who won the 2002 World Cup,Brazil,Easy,1,Events
591,Soccer,Which player is known as The Phenomenon,Ronaldo Nazario,Easy,1,Nicknames
592,Soccer,What is a brace,Two goals in one match,Easy,1,Rules
593,Soccer,Which country hosted the 2014 World Cup,Brazil,Easy,1,Events
594,Soccer,Who is the all time Premier League top scorer,Alan Shearer - 260,Medium,2,Records
595,Soccer,Which club is known as The Blues,Chelsea,Easy,1,Nicknames
596,Soccer,What is a bicycle kick,Overhead kick where player strikes ball mid air,Easy,1,Quirky
597,Soccer,Who won the 1998 World Cup,France,Easy,1,Events
598,Soccer,Which country is famous for total football system,Netherlands,Medium,2,Style
599,Soccer,Who is known as El Pibe de Oro,Diego Maradona,Easy,1,Nicknames
600,Soccer,What is a red card offense,Sending off for serious foul or misconduct,Medium,2,Rules
601,Tennis,Who has won the most Grand Slam men's singles titles,Novak Djokovic - 24,Easy,1,Records
602,Tennis,Who has won the most Grand Slam women's singles titles,Serena Williams - 23,Easy,1,Records
603,Tennis,What are the four Grand Slam tournaments,Australian Open French Open Wimbledon US Open,Easy,1,Events
604,Tennis,Which tournament is played on grass at the All England Club,Wimbledon,Easy,1,Events
605,Tennis,Who is known as The King of Clay,Rafael Nadal,Easy,1,Nicknames
606,Tennis,Who has won the most Wimbledon men's titles,Roger Federer - 8,Easy,1,Records
607,Tennis,What is a tennis match typically played to,Best of 3 or 5 sets,Easy,1,Rules
608,Tennis,Who won the most consecutive French Open titles,Rafael Nadal - 14,Easy,1,Records
609,Tennis,What is love in tennis scoring,Zero points,Easy,1,Rules
610,Tennis,Who is known as The Joker,Novak Djokovic,Easy,1,Nicknames
611,Tennis,Which surface is the US Open played on,Hard court,Easy,1,Events
612,Tennis,Who has the most career Grand Slam titles overall,Novak Djokovic - 24,Easy,1,Records
613,Tennis,What is a tiebreak,Special game to decide tied set,Easy,1,Rules
614,Tennis,Who won the 2019 Wimbledon men's singles final,Novak Djokovic,Easy,1,Events
615,Tennis,Who won the 2023 US Open women's singles,Coco Gauff,Easy,1,Events
616,Tennis,What is an ace in tennis,Serve not touched by opponent,Easy,1,Rules
617,Tennis,Who is known as The Swiss Maestro,Roger Federer,Easy,1,Nicknames
618,Tennis,Which country hosts the Australian Open,Australia,Easy,1,Events
619,Tennis,Who has the most career ATP titles,Jimmy Connors - 109,Medium,2,Records
620,Tennis,What is a break point,Chance to win opponent serve game,Easy,1,Rules
621,Tennis,Who won the 2022 Wimbledon men's singles,Novak Djokovic,Easy,1,Events
622,Tennis,Which player is known as Rafa,Rafael Nadal,Easy,1,Nicknames
623,Tennis,Who has the most Grand Slam women's titles in the Open Era,Serena Williams,Easy,1,Records
624,Tennis,What is a double fault,Two missed serves in a row,Easy,1,Rules
625,Tennis,Who won the 2023 Wimbledon men's singles,Carlos Alcaraz,Easy,1,Events
626,Tennis,Which surface is Roland Garros played on,Clay,Easy,1,Events
627,Tennis,Who is known as The Queen of Clay,Justine Henin (historical reference),Medium,2,Nicknames
628,Tennis,What is a baseline in tennis,Back boundary line of court,Easy,1,Rules
629,Tennis,Who has the fastest recorded serve in tennis,Sam Groth - 163 mph,Medium,2,Records
630,Tennis,Which player won 14 French Open titles,Rafael Nadal,Easy,1,Records
631,Tennis,What is a volley in tennis,Hit before ball bounces,Easy,1,Rules
632,Tennis,Who won the 2022 US Open men's singles,Carlos Alcaraz,Easy,1,Events
633,Tennis,Which country is Roger Federer from,Switzerland,Easy,1,Players
634,Tennis,Who has the most Wimbledon women's titles,Martina Navratilova - 9,Medium,2,Records
635,Tennis,What is a forehand,Stroke on dominant side,Easy,1,Rules
636,Tennis,Who won the 2021 US Open men's singles,Daniil Medvedev,Easy,1,Events
637,Tennis,Which player is known as Nole,Novak Djokovic,Easy,1,Nicknames
638,Tennis,What is a backhand,Stroke on non dominant side,Easy,1,Rules
639,Tennis,Who won the 2020 French Open men's singles,Rafael Nadal,Easy,1,Events
640,Tennis,Which tournament is known as the happiest slam,Australian Open,Easy,1,Quirky
641,Tennis,Who has the most career prize money in tennis,Novak Djokovic,Medium,2,Records
642,Tennis,What is deuce in tennis,Tied score at 40-40,Easy,1,Rules
643,Tennis,Who won the 2017 Australian Open men's singles,Roger Federer,Easy,1,Events
644,Tennis,Which player is known as The Rocket,Rod Laver,Easy,1,Nicknames
645,Tennis,Who won the 2020 US Open women's singles,Naomi Osaka,Easy,1,Events
646,Tennis,What is an unforced error,Missed shot not caused by opponent,Easy,1,Rules
647,Tennis,Which country is Rafael Nadal from,Spain,Easy,1,Players
648,Tennis,Who has the most consecutive weeks at world number 1,Novak Djokovic - 390+,Hard,3,Records
649,Tennis,What is a grand slam in tennis,Winning all four majors in one year,Easy,1,Rules
