Sport,Question,Answer,Difficulty,Points,CategoryTag
NHL,Who has the most career goals by a defenseman,Ray Bourque - 410,Hard,3,Records
NHL,What is a one timer,Immediate shot off a pass,Easy,1,Rules
NHL,Who won the 2015 Stanley Cup,Chicago Blackhawks,Easy,1,Championships
NHL,Which team relocated from Hartford to Carolina,Carolina Hurricanes,Medium,2,History
NHL,Who has the most career power play goals,Wayne Gretzky,Hard,3,Records
NHL,What is boarding,Illegal hit into boards,Medium,2,Rules
NHL,Who won the 2012 Stanley Cup,Los Angeles Kings,Easy,1,Championships
NHL,Which player is known as Mr Hockey,Gordie Howe,Easy,1,Nicknames
NHL,Who has the most career playoff wins as a goalie,Patrick Roy - 151,Medium,2,Records
NHL,What is a cross check,Using stick to push opponent,Medium,2,Rules
NHL,Who won the 1999 Stanley Cup,Dallas Stars,Easy,1,Championships
NHL,Which team relocated from Minnesota to Dallas,Dallas Stars,Medium,2,History
NHL,Who has the most career goals in playoffs,Wayne Gretzky - 122,Medium,2,Records
NHL,What is a penalty shot,Uncontested shot due to foul,Easy,1,Rules
NHL,Who won the 1991 Stanley Cup,Pittsburgh Penguins,Easy,1,Championships
NHL,Which player is known as The Flower,Marc Andre Fleury,Easy,1,Nicknames
NHL,Who has the most career assists in playoffs,Wayne Gretzky,Hard,3,Records
NHL,What is interference,Obstructing a player without puck,Medium,2,Rules
NHL,Who won the 1980 Stanley Cup,New York Islanders,Easy,1,Championships
NHL,Which team has won four straight Stanley Cups most recently,New York Islanders 1980 to 1983,Medium,2,History
NHL,Who has the most career game winning goals,Jaromir Jagr,Hard,3,Records
NHL,What is roughing,Minor altercation penalty,Easy,1,Rules
NHL,Who won the 2003 Stanley Cup,New Jersey Devils,Easy,1,Championships
NHL,Which player is known as The Moose,Mark Messier,Medium,2,Nicknames
NHL,Who has the most career playoff points by a defenseman,Paul Coffey,Hard,3,Records
NHL,What is a high sticking penalty,Contact with stick above shoulders,Medium,2,Rules
NHL,Who won the 1986 Stanley Cup,Montreal Canadiens,Easy,1,Championships
NHL,Which team has the fastest goal in NHL history,Los Angeles Kings - 5 seconds,Hard,3,Records
NHL,Who has the most career shots on goal,Ray Bourque,Hard,3,Records
NHL,What is a line change,Substituting players during play,Easy,1,Rules
NHL,Who won the 1970 Stanley Cup,Boston Bruins,Easy,1,Championships
NHL,Which player is known as The Russian Rocket,Pavel Bure,Easy,1,Nicknames
Golf,Who has won the most PGA Tour wins in history,Sam Snead - 82,Easy,1,Records
Golf,Who has won the most major championships,Jack Nicklaus - 18,Easy,1,Records
Golf,Where did Tiger Woods play collegiate golf,Stanford,Easy,1,Nicknames
Golf,What are the four major golf tournaments,Masters PGA Championship US Open The Open Championship,Easy,1,Events
Golf,Where is the Masters Tournament played,Augusta National Golf Club,Easy,1,Events
Golf,What is a hole in one,A tee shot that goes directly into the hole,Easy,1,Rules
Golf,Who has the most Masters wins,Tiger Woods and Jack Nicklaus tied at 6 for most era comparisons vary,Medium,2,Records
Golf,What is par in golf,Expected number of strokes for a hole,Easy,1,Rules
Golf,Who won the 2023 Masters Tournament,Jon Rahm,Easy,1,Events
Golf,What is a birdie,One stroke under par,Easy,1,Rules
Golf,Who won the most PGA Championships,Jack Nicklaus and Walter Hagen tied historically,Medium,2,Records
Golf,What is a bogey,One stroke over par,Easy,1,Rules
Golf,Who is known as Lefty,Phil Mickelson,Easy,1,Nicknames
Golf,What is the length of an 18 hole round typically,About 4 to 5 hours,Easy,1,Rules
Golf,Who has the most career PGA Tour money,Scottie Scheffler era leader varies,Medium,2,Records
Golf,What is a caddie,A person who carries a golfers bag and assists,Easy,1,Rules
Golf,Who won the 2022 Open Championship,Cameron Smith,Easy,1,Events
Golf,What is a eagle,Two strokes under par,Easy,1,Rules
Golf,Who is known as The Golden Bear,Jack Nicklaus,Easy,1,Nicknames
Golf,Which country hosts The Open Championship,United Kingdom,Easy,1,Events
Golf,Who has the most career PGA Tour wins among active players,PGA leader varies Rory McIlroy or others context dependent,Medium,2,Records
Golf,What is a double bogey,Two strokes over par,Easy,1,Rules
Golf,Who won the 2021 Masters Tournament,Hideki Matsuyama,Easy,1,Events
Golf,What is the green in golf,Area around the hole with short grass,Easy,1,Rules
Golf,Who has won the most US Opens,Willie Anderson Ben Hogan Bobby Jones and others tied historically,Hard,3,Records
Golf,What is a slice,A shot that curves sharply right for right handed players,Easy,1,Rules
Golf,Who won the 2020 Masters Tournament,Dustin Johnson,Easy,1,Events
Golf,What is a drive,First shot on a hole from tee box,Easy,1,Rules
Golf,Who is known as The Shark,Greg Norman,Easy,1,Nicknames
Golf,What is a handicap in golf,Number used to measure skill level,Easy,1,Rules
Golf,Who won the 2019 Masters Tournament,Tiger Woods,Easy,1,Events
Golf,What is a bunker,Sand filled hazard,Easy,1,Rules
Golf,Who has the longest recorded drive in PGA history,Michael Hoke Austin - 515 yards,Hard,3,Records
Golf,What is a fade,A controlled left to right shot,Easy,1,Rules
Golf,Who won the 2018 PGA Championship,Brooks Koepka,Easy,1,Events
Golf,What is a hook,A shot that curves left for right handed players,Easy,1,Rules
Golf,Who is known as The Big Easy,Ernie Els,Easy,1,Nicknames
Golf,What is match play,Scoring by holes won instead of total strokes,Medium,2,Rules
Golf,Who won the 2017 Masters Tournament,Sergio Garcia,Easy,1,Events
Golf,What is stroke play,Total number of strokes determines winner,Medium,2,Rules
Golf,Who has the most career European Tour wins,Seve Ballesteros or Lee Westwood depending on era context,Hard,3,Records
Golf,What is a mulligan,Practice shot not counted in official play,Easy,1,Quirky
Golf,Who won the 2016 Masters Tournament,Danny Willett,Easy,1,Events
Golf,What is the tee box,Starting area for each hole,Easy,1,Rules
Golf,Who is known as The Walrus,Craig Stadler,Easy,1,Nicknames
Golf,What is a scratch golfer,A golfer with zero handicap,Easy,1,Rules
Golf,Who won the 2015 Masters Tournament,Jordan Spieth,Easy,1,Events
Golf,What is the cut in golf tournaments,Reduction of field after certain rounds,Medium,2,Rules
College Football,Which school has won the most national championships,Alabama Crimson Tide - 18,Easy,1,Records
College Football,Who won the first College Football Playoff National Championship,Ohio State,Easy,1,Championships
College Football,What trophy is awarded to the best college player,Heisman Trophy,Easy,1,Awards
College Football,Who won the 2023 College Football Playoff National Championship,Georgia Bulldogs,Easy,1,Championships
College Football,Which team is known as the Fighting Irish,Notre Dame,Easy,1,Nicknames
College Football,Who is the all time passing yards leader in NCAA history,BJ Symons - 5800+ single season record era leader case varies,Hard,3,Records
College Football,What conference is Alabama in,SEC,Easy,1,Conferences
College Football,Which player won the 2023 Heisman Trophy,Jayden Daniels,Easy,1,Awards
College Football,What is the length of a college football field,100 yards,Easy,1,Rules
College Football,Which team is known as The Buckeyes,Ohio State,Easy,1,Nicknames
College Football,Who won the 2022 CFP National Championship,Georgia Bulldogs,Easy,1,Championships
College Football,What does NCAA stand for,National Collegiate Athletic Association,Easy,1,Organizations
College Football,Which school is known as the Longhorns,Texas,Easy,1,Nicknames
College Football,Who has the most Heisman Trophy wins by a school,Ohio State USC Oklahoma tied historically,Medium,2,Awards
College Football,What is a touchdown worth,6 points,Easy,1,Rules
College Football,Which team plays in the Big House,Michigan Wolverines,Easy,1,Stadiums
College Football,Who won the 2019 CFP National Championship,Clemson,Easy,1,Championships
College Football,Which quarterback won the Heisman in 2019,Joe Burrow,Easy,1,Awards
College Football,What is overtime in college football,Alternating possessions from opponent 25 yard line,Medium,2,Rules
College Football,Which school is known as the Crimson Tide,Alabama,Easy,1,Nicknames
College Football,Who holds the record for most career rushing yards in NCAA,FBS record Ron Dayne 6900+,Hard,3,Records
College Football,Which team is known as the Trojans,USC,Easy,1,Nicknames
College Football,What is a safety worth,2 points,Easy,1,Rules
College Football,Who won the 2018 CFP National Championship,Alabama,Easy,1,Championships
College Football,Which conference is Ohio State in,Big Ten,Easy,1,Conferences
College Football,Who is known as The U,Miami Hurricanes,Easy,1,Nicknames
College Football,What is a redshirt player,A player who sits out a season to extend eligibility,Medium,2,Rules
College Football,Who won the 2017 CFP National Championship,Clemson,Easy,1,Championships
College Football,Which school is known for the 12th Man,Texas A&M,Easy,1,Nicknames
College Football,Who has the most career passing touchdowns in NCAA history,Case Keenum - 155,Hard,3,Records
College Football,What is a bowl game,Postseason college football game,Easy,1,Rules
College Football,Who won the 2016 CFP National Championship,Alabama,Easy,1,Championships
College Football,Which team is known as the Sooners,Oklahoma,Easy,1,Nicknames
College Football,Who is the all time NCAA receiving yards leader,Corey Davis college record era varies,Hard,3,Records
College Football,What is a field goal worth,3 points,Easy,1,Rules
College Football,Which school is known as the Ducks,Oregon,Easy,1,Nicknames
College Football,Who won the 2015 CFP National Championship,Ohio State,Easy,1,Championships
College Football,What is a Hail Mary pass,Long desperation pass at end of half or game,Easy,1,Quirky
College Football,Which team is known as the Seminoles,Florida State,Easy,1,Nicknames
College Football,Who has the most career wins as a college coach,Joe Paterno - 409,Medium,2,Records
College Football,What is targeting in football,Illegal helmet to helmet contact,Medium,2,Rules
College Football,Who won the 2014 CFP National Championship,Ohio State,Easy,1,Championships
College Football,Which school is known as the Volunteers,Tennessee,Easy,1,Nicknames
College Football,Who holds the record for most points in a college game,Howard Griffith era records vary,Hard,3,Records
College Football,What is a two point conversion,Play after touchdown worth 2 points,Easy,1,Rules
College Football,Which team is known as the Badgers,Wisconsin,Easy,1,Nicknames
College Football,Who won the 2013 BCS National Championship,Florida State,Easy,1,Championships
College Football,What is the AP Poll,Weekly ranking of top college teams,Medium,2,Organizations
College Football,Which school is known as the Wildcats,Kentucky,Easy,1,Nicknames
College Football,Who won the 2012 BCS National Championship,Alabama,Easy,1,Championships
College Football,What is a pick six,Interception returned for touchdown,Easy,1,Rules
College Basketball,Which school has won the most NCAA men's championships,UCLA - 11,Easy,1,Records
College Basketball,Who won the 2023 NCAA Men's Championship,UConn Huskies,Easy,1,Championships
College Basketball,Who is the all time leading scorer in NCAA Division I men's basketball,Pete Maravich - 3667,Easy,1,Records
College Basketball,What tournament determines the NCAA champion,March Madness,Easy,1,Events
College Basketball,Which team is known as the Blue Devils,Duke,Easy,1,Nicknames
College Basketball,Who won the 2022 NCAA Men's Championship,Kansas Jayhawks,Easy,1,Championships
College Basketball,How long is the shot clock in college basketball,30 seconds,Easy,1,Rules
College Basketball,Which player is known as Zion,Zion Williamson,Easy,1,Nicknames
College Basketball,Who has the most NCAA tournament wins as a coach,John Wooden - UCLA era dominance,Medium,2,Records
College Basketball,Which school is known as the Tar Heels,North Carolina,Easy,1,Nicknames
College Basketball,Who won the 2018 NCAA Men's Championship,Virginia Cavaliers,Easy,1,Championships
College Basketball,What is a double double,Double digits in two statistical categories,Easy,1,Rules
College Basketball,Which player hit The Shot for North Carolina,Michael Jordan,Easy,1,Legends
College Basketball,Who is the all time NCAA women's scoring leader,Kelsey Plum - 3527,Medium,2,Records
College Basketball,Which school is known as the Wildcats,Kentucky,Easy,1,Nicknames
College Basketball,Who won the 2016 NCAA Men's Championship,Villanova Wildcats,Easy,1,Championships
College Basketball,What is a bracket in March Madness,Tournament prediction chart,Easy,1,Events
College Basketball,Which player is known as Coach K,K Mike Krzyzewski,Easy,1,Nicknames
College Basketball,Who has the most NCAA tournament appearances,Kansas Jayhawks,Medium,2,Records
College Basketball,What is a Cinderella team,Underdog team making deep tournament run,Easy,1,Quirky
College Basketball,Who won the 2015 NCAA Men's Championship,Duke Blue Devils,Easy,1,Championships
College Basketball,Which school is known as the Spartans,Michigan State,Easy,1,Nicknames
College Basketball,Who holds the record for most points in a single NCAA game,Frank Selvy - 100,Hard,3,Records
College Basketball,What is a one and done player,Player leaving for NBA after one year,Easy,1,Rules
College Basketball,Who won the 2021 NCAA Men's Championship,Baylor Bears,Easy,1,Championships
College Basketball,Which school is known as the Hoosiers,Indiana,Easy,1,Nicknames
College Basketball,Who has the most career NCAA assists,Ed Cota era leader UNC,Hard,3,Records
College Basketball,What is a fast break,Quick transition scoring play,Easy,1,Rules
College Basketball,Who won the 2019 NCAA Men's Championship,Virginia Cavaliers,Easy,1,Championships
College Basketball,Which player is known as The Brow,Anthony Davis,Easy,1,Nicknames
College Basketball,What is a technical foul,Unsportsmanlike conduct penalty,Easy,1,Rules
College Basketball,Who won the 2022 NCAA Women's Championship,South Carolina Gamecocks,Easy,1,Championships
College Basketball,Which player is known as Pistol Pete,Pete Maravich,Easy,1,Nicknames
College Basketball,Who has the most NCAA tournament wins as a player,Kemba Walker era leader context varies,Medium,2,Records
College Basketball,What is overtime in college basketball,Extra period after tie game,Easy,1,Rules
College Basketball,Which school is known as the Gators,Florida,Easy,1,Nicknames
College Basketball,Who won the 2014 NCAA Men's Championship,UConn Huskies,Easy,1,Championships
College Basketball,What is a three point line shot worth,3 points,Easy,1,Rules
College Basketball,Which coach has the most NCAA titles for women,Pat Summitt - 8,Easy,1,Records
College Basketball,Who is known as The Process,Joel Embiid (college at Kansas),Easy,1,Nicknames
College Basketball,Which school is known as the Buckeyes,Ohio State,Easy,1,Nicknames
College Basketball,Who won the 2008 NCAA Men's Championship,Kansas Jayhawks,Easy,1,Championships
College Basketball,What is a charge in basketball,Offensive foul for running into defender,Easy,1,Rules
College Basketball,Which player is known as Dame,Damian Lillard (Weber State),Easy,1,Nicknames
College Basketball,Who holds the record for most NCAA tournament points,Kemba Walker - 2011 run,Medium,2,Records
College Basketball,Which school is known as the Razorbacks,Arkansas,Easy,1,Nicknames
College Basketball,Who won the 2013 NCAA Men's Championship,Louisville Cardinals,Easy,1,Championships
College Basketball,What is a sixth man,A top bench player,Easy,1,Roles
College Basketball,Which team has the most Final Four appearances,North Carolina - 21,Medium,2,Records
College Basketball,Who is known as Swaggy P,Nick Young (USC),Easy,1,Nicknames
College Basketball,What is a buzzer beater,A shot made as time expires,Easy,1,Quirky
Soccer,Which country has won the most FIFA World Cups,Brazil - 5,Easy,1,Records
Soccer,Who is widely considered the greatest soccer player of all time,Pele,Easy,1,Legends
Soccer,Which player has won the most Ballon dOr awards,Lionel Messi - 8,Easy,1,Records
Soccer,What is the governing body of world soccer,FIFA,Easy,1,Organizations
Soccer,Which country hosted the 2022 World Cup,Qatar,Easy,1,Events
Soccer,Who is known as CR7,Cristiano Ronaldo,Easy,1,Nicknames
Soccer,Which club has won the most UEFA Champions League titles,Real Madrid - 15,Easy,1,Records
Soccer,What is a hat trick in soccer,Three goals in one match,Easy,1,Rules
Soccer,Which country won the 2018 World Cup,France,Easy,1,Events
Soccer,Who is Argentina's most famous modern player,Lionel Messi,Easy,1,Legends
Soccer,What is the length of a standard soccer match,90 minutes,Easy,1,Rules
Soccer,Which country won the first World Cup in 1930,Uruguay,Medium,2,History
Soccer,Who is the all time top scorer in men's international soccer,Cristiano Ronaldo - 128+,Easy,1,Records
Soccer,What is the penalty spot distance from goal,12 yards,Easy,1,Rules
Soccer,Which club is known as The Red Devils,Manchester United,Easy,1,Nicknames
Soccer,Who won the 2014 World Cup,Germany,Easy,1,Events
Soccer,Which country is famous for Tiki Taka style,Spain,Medium,2,Style
Soccer,Who scored the Hand of God goal,Diego Maradona,Easy,1,Legends
Soccer,What is offside in soccer,Attacker ahead of last defender when ball played,Medium,2,Rules
Soccer,Which club plays at Camp Nou,FC Barcelona,Easy,1,Teams
Soccer,Who has the most goals in World Cup history,Miroslav Klose - 16,Medium,2,Records
Soccer,What color card means a player is sent off,Red card,Easy,1,Rules
Soccer,Which country won Euro 2020,Italy,Easy,1,Events
Soccer,Who is known as The Egyptian King,Mohamed Salah,Easy,1,Nicknames
Soccer,Which club has the nickname The Gunners,Arsenal,Easy,1,Nicknames
Soccer,What is a clean sheet,No goals allowed in a match,Easy,1,Rules
Soccer,Who won the 2010 World Cup,Spain,Easy,1,Events
Soccer,Which player is known for the bicycle kick,Rivaldo (famous examples also Ronaldo CR7),Medium,2,Highlights
Soccer,What is VAR,Video Assistant Referee,Easy,1,Rules
Soccer,Which country has the most World Cup finals appearances,Germany - 8,Medium,2,Records
Soccer,Who is known as The Special One,Jose Mourinho,Easy,1,Nicknames
Soccer,What is a corner kick awarded for,Ball last touched by defending team crossing goal line,Easy,1,Rules
Soccer,Which club is based in Munich,Bayern Munich,Easy,1,Teams
Soccer,Who won the 2023 Champions League,Manchester City,Easy,1,Events
Soccer,What is a free kick,Restart after foul without penalty shot,Easy,1,Rules
Soccer,Which country won Copa America 2021,Argentina,Easy,1,Events
Soccer,Who holds the record for most goals in a calendar year,Lionel Messi - 91,Medium,2,Records
Soccer,Which club is known as The Old Lady,Juventus,Easy,1,Nicknames
Soccer,What is stoppage time,Extra time added for delays,Easy,1,Rules
Soccer,Who won the 2002 World Cup,Brazil,Easy,1,Events
Soccer,Which player is known as The Phenomenon,Ronaldo Nazario,Easy,1,Nicknames
Soccer,What is a brace,Two goals in one match,Easy,1,Rules
Soccer,Which country hosted the 2014 World Cup,Brazil,Easy,1,Events
Soccer,Who is the all time Premier League top scorer,Alan Shearer - 260,Medium,2,Records
Soccer,Which club is known as The Blues,Chelsea,Easy,1,Nicknames
Soccer,What is a bicycle kick,Overhead kick where player strikes ball mid air,Easy,1,Quirky
Soccer,Who won the 1998 World Cup,France,Easy,1,Events
Soccer,Which country is famous for total football system,Netherlands,Medium,2,Style
Soccer,Who is known as El Pibe de Oro,Diego Maradona,Easy,1,Nicknames
Soccer,What is a red card offense,Sending off for serious foul or misconduct,Medium,2,Rules
Tennis,Who has won the most Grand Slam men's singles titles,Novak Djokovic - 24,Easy,1,Records
Tennis,Who has won the most Grand Slam women's singles titles,Serena Williams - 23,Easy,1,Records
Tennis,What are the four Grand Slam tournaments,Australian Open French Open Wimbledon US Open,Easy,1,Events
Tennis,Which tournament is played on grass at the All England Club,Wimbledon,Easy,1,Events
Tennis,Who is known as The King of Clay,Rafael Nadal,Easy,1,Nicknames
Tennis,Who has won the most Wimbledon men's titles,Roger Federer - 8,Easy,1,Records
Tennis,What is a tennis match typically played to,Best of 3 or 5 sets,Easy,1,Rules
Tennis,Who won the most consecutive French Open titles,Rafael Nadal - 14,Easy,1,Records
Tennis,What is love in tennis scoring,Zero points,Easy,1,Rules
Tennis,Who is known as The Joker,Novak Djokovic,Easy,1,Nicknames
Tennis,Which surface is the US Open played on,Hard court,Easy,1,Events
Tennis,Who has the most career Grand Slam titles overall,Novak Djokovic - 24,Easy,1,Records
Tennis,What is a tiebreak,Special game to decide tied set,Easy,1,Rules
Tennis,Who won the 2019 Wimbledon men's singles final,Novak Djokovic,Easy,1,Events
Tennis,Who won the 2023 US Open women's singles,Coco Gauff,Easy,1,Events
Tennis,What is an ace in tennis,Serve not touched by opponent,Easy,1,Rules
Tennis,Who is known as The Swiss Maestro,Roger Federer,Easy,1,Nicknames
Tennis,Which country hosts the Australian Open,Australia,Easy,1,Events
Tennis,Who has the most career ATP titles,Jimmy Connors - 109,Medium,2,Records
Tennis,What is a break point,Chance to win opponent serve game,Easy,1,Rules
Tennis,Who won the 2022 Wimbledon men's singles,Novak Djokovic,Easy,1,Events
Tennis,Which player is known as Rafa,Rafael Nadal,Easy,1,Nicknames
Tennis,Who has the most Grand Slam women's titles in the Open Era,Serena Williams,Easy,1,Records
Tennis,What is a double fault,Two missed serves in a row,Easy,1,Rules
Tennis,Who won the 2023 Wimbledon men's singles,Carlos Alcaraz,Easy,1,Events
Tennis,Which surface is Roland Garros played on,Clay,Easy,1,Events
Tennis,Who is known as The Queen of Clay,Justine Henin (historical reference),Medium,2,Nicknames
Tennis,What is a baseline in tennis,Back boundary line of court,Easy,1,Rules
Tennis,Who has the fastest recorded serve in tennis,Sam Groth - 163 mph,Medium,2,Records
Tennis,Which player won 14 French Open titles,Rafael Nadal,Easy,1,Records
Tennis,What is a volley in tennis,Hit before ball bounces,Easy,1,Rules
Tennis,Who won the 2022 US Open men's singles,Carlos Alcaraz,Easy,1,Events
Tennis,Which country is Roger Federer from,Switzerland,Easy,1,Players
Tennis,Who has the most Wimbledon women's titles,Martina Navratilova - 9,Medium,2,Records
Tennis,What is a forehand,Stroke on dominant side,Easy,1,Rules
Tennis,Who won the 2021 US Open men's singles,Daniil Medvedev,Easy,1,Events
Tennis,Which player is known as Nole,Novak Djokovic,Easy,1,Nicknames
Tennis,What is a backhand,Stroke on non dominant side,Easy,1,Rules
Tennis,Who won the 2020 French Open men's singles,Rafael Nadal,Easy,1,Events
Tennis,Which tournament is known as the happiest slam,Australian Open,Easy,1,Quirky
Tennis,Who has the most career prize money in tennis,Novak Djokovic,Medium,2,Records
Tennis,What is deuce in tennis,Tied score at 40-40,Easy,1,Rules
Tennis,Who won the 2017 Australian Open men's singles,Roger Federer,Easy,1,Events
Tennis,Which player is known as The Rocket,Rod Laver,Easy,1,Nicknames
Tennis,Who won the 2020 US Open women's singles,Naomi Osaka,Easy,1,Events
Tennis,What is an unforced error,Missed shot not caused by opponent,Easy,1,Rules
Tennis,Which country is Rafael Nadal from,Spain,Easy,1,Players
Tennis,Who has the most consecutive weeks at world number 1,Novak Djokovic - 390+,Hard,3,Records
Tennis,What is a grand slam in tennis,Winning all four majors in one year,Easy,1,Rules
