id,sport,question,correct_answer,choice_a,choice_b,choice_c,choice_d,difficulty,points,category_tag
172,NBA,Which team has the most wins in a single season,Golden State Warriors - 73,LeBron James,Robert Parish - 1611,John Stockton - 15806,Golden State Warriors - 73,Easy,1,Records
173,NBA,Who has the most career playoff assists,Magic Johnson,Magic Johnson,John Stockton - 15806,Michael Jordan - 63,LeBron James - over 39000 points,Hard,3,Records
174,NBA,What is a Euro step,Two step move to evade defenders,Darryl Dawkins,Pass caught and dunked mid air,Chicago Bulls,Two step move to evade defenders,Easy,1,Quirky
175,NBA,Who won the 2006 NBA Finals,Miami Heat,Detroit Pistons,Milwaukee Bucks,San Antonio Spurs,Miami Heat,Easy,1,Championships
176,NBA,Which player is known as The Round Mound of Rebound,Charles Barkley,Charles Barkley,LeBron James,Kevin Durant,James Harden,Easy,1,Nicknames
177,NBA,Who has the most career fouls committed,Karl Malone,Karl Malone,LeBron James,Kareem Abdul Jabbar - 15837,LeBron James - over 39000 points,Hard,3,Records
178,NBA,What is a shot fake,Pretending to shoot to trick defender,23.75 feet average,Returning ball to backcourt illegally,Failure to shoot within 24 seconds,Pretending to shoot to trick defender,Easy,1,Rules
179,NBA,Who was the youngest player drafted number one overall,LeBron James - 18 years old,LeBron James - 18 years old,LeBron James,Wil Chamberlain - 100,Michael Jordan - 63,Medium,2,Records
180,NBA,Which team relocated from New Jersey to Brooklyn,Brooklyn Nets,Moses Malone,LeBron James,Seattle SuperSonics,Brooklyn Nets,Easy,1,History
181,NBA,Who has the most career playoff rebounds,Bill Russell,Bill Russell,Michael Jordan - 63,Magic Johnson,Wil Chamberlain - 2707,Hard,3,Records
182,NBA,What is a box out,Positioning to secure rebound,Positioning to secure rebound,Illegal movement without dribbling,18 inches,48 minutes,Easy,1,Rules
183,NBA,Who won the 1999 NBA Finals,San Antonio Spurs,Dallas Mavericks,Cleveland Cavaliers,Boston Celtics - 17 tied,San Antonio Spurs,Easy,1,Championships
184,NBA,Which player is known as The Klaw,Kawhi Leonard,Karl Malone,Paul Pierce,Michael Jordan,Kawhi Leonard,Easy,1,Nicknames
185,NBA,Who has the most career assists in a single season,John Stockton - 1164,John Stockton - 1164,Michael Jordan - 63,Hakeem Olajuwon - 3830,Wil Chamberlain - 100,Hard,3,Records
186,NBA,What is a pick and roll,Screen then move to basket play,Violation of sportsmanship rules,Illegal movement without dribbling,Returning ball to backcourt illegally,Screen then move to basket play,Easy,1,Rules
187,NBA,Who won MVP in 2017,Russell Westbrook,Kareem Abdul Jabbar - 6,Michael Jordan,Russell Westbrook,Shaquille O Neal,Medium,2,Awards
188,NBA,Which team drafted Stephen Curry,Golden State Warriors,Golden State Warriors,Kareem Abdul Jabbar - 6,LeBron James - over 8000,John Stockton - 3265,Easy,1,Players
189,NBA,Who has the most career points in the Finals,LeBron James,Michael Jordan - 63,Hakeem Olajuwon - 3830,Wil Chamberlain - 100,LeBron James,Hard,3,Records
190,NBA,What is a turnover,Loss of possession,Loss of possession,48 minutes,Quick transition scoring opportunity,Double digits in three statistical categories,Easy,1,Rules
191,NBA,Who won the 2004 NBA Finals,Detroit Pistons,Michael Jordan,Detroit Pistons,Boston Celtics - 17 tied,LeBron James,Easy,1,Championships
192,NBA,Which player is known as The Diesel,Shaquille O Neal,Shaquille O Neal,Karl Malone,David Robinson,Tim Duncan,Easy,1,Nicknames
193,NBA,Who has the most career playoff triple doubles,Magic Johnson,John Stockton - 15806,Kareem Abdul Jabbar - 15837,LeBron James - over 39000 points,Magic Johnson,Hard,3,Records
194,NBA,What is an alley oop,Pass caught and dunked mid air,Toronto Raptors,Darryl Dawkins,Pass caught and dunked mid air,Chicago Bulls,Easy,1,Quirky
195,NBA,Who won MVP in 2022,Nikola Jokic,Nikola Jokic,Michael Jordan,Kareem Abdul Jabbar - 6,Luka Doncic,Medium,2,Awards
196,NBA,Which team has a mascot named Benny the Bull,Chicago Bulls,Chicago Bulls,Pass caught and dunked mid air,Darryl Dawkins,Toronto Raptors,Easy,1,Quirky
197,NBA,Who has the most career blocks in a single season,Mark Eaton - 456,LeBron James - over 8000,Wil Chamberlain - 100,John Stockton - 3265,Mark Eaton - 456,Hard,3,Records
198,NBA,What is a sixth man,A key bench player,Toronto Raptors,Michael Jordan,A key bench player,Los Angeles Lakers,Easy,1,Roles
199,NBA,Who won the 1987 NBA Finals,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,Boston Celtics - 17 tied,Michael Jordan,Easy,1,Championships
200,NBA,Which player is known as King James,LeBron James,Giannis Antetokounmpo,Allen Iverson,Paul Pierce,LeBron James,Easy,1,Nicknames
201,NFL,Who has the most career passing yards,Tom Brady - 89214,Tom Brady - 649,New England Patriots - 5 tied,Tom Brady - 89214,Dallas Cowboys,Easy,1,Records
202,NFL,Which team has won the most Super Bowls,New England Patriots - 6 tied,Patrick Mahomes,Chicago Bears,New England Patriots,New England Patriots - 6 tied,Easy,1,Championships
203,NFL,Who is the all time leader in rushing yards,Emmitt Smith - 18355,Emmitt Smith - 18355,Tom Brady - 7753,Tom Brady - 89214,Peyton Manning - 55,Easy,1,Records
204,NFL,What team completed the only perfect season,Miami Dolphins - 1972,New England Patriots - 6th round,New York Giants defeated New England Patriots,Miami Dolphins - 1972,Las Vegas Raiders,Easy,1,History
205,NFL,Who has the most career touchdown passes,Tom Brady - 649,Tom Brady - 649,Emmitt Smith - 4409,Robert Mathis - 54,Bruce Smith - 200,Easy,1,Records
206,NFL,Which team won Super Bowl I,Green Bay Packers,Santonio Holmes,Green Bay Packers,New England Patriots,Eli Manning,Medium,2,Championships
207,NFL,Who is known as The GOAT quarterback,Tom Brady,William Perry,Tom Brady,Dallas Cowboys,Walter Payton,Easy,1,Nicknames
208,NFL,What is the length of an NFL field including end zones,120 yards,5 yards,75 yards,100 yards,120 yards,Easy,1,Rules
209,NFL,Who has the most career sacks,Bruce Smith - 200,Emmitt Smith - 18355,Drew Brees tied record,Bruce Smith - 200,Tom Brady - 89214,Medium,2,Records
210,NFL,Which team is known as Americas Team,Dallas Cowboys,Dallas Cowboys,Green Bay Packers,William Perry,Calvin Johnson,Easy,1,Nicknames
211,NFL,Who won the MVP award in 2018,Patrick Mahomes,Patrick Mahomes,Aaron Rodgers,Justin Herbert,Cam Newton,Medium,2,Awards
212,NFL,What position does a quarterback play,Offense leader passing and directing plays,Play after touchdown worth 2 points,Play action,Player catches kick without advancing and cannot be hit,Offense leader passing and directing plays,Easy,1,Rules
213,NFL,Who has the most career interceptions thrown,Brett Favre - 336,Brett Favre - 336,Bruce Smith - 200,Jerry Rice - 197,Michael Thomas - 149,Hard,3,Records
214,NFL,Which team relocated from St Louis to Los Angeles,Los Angeles Rams,Los Angeles Chargers,Miami Dolphins - 1972,Los Angeles Rams,New England Patriots - 6th round,Easy,1,History
215,NFL,Who has the most career receiving yards,Jerry Rice - 22895,Adam Vinatieri - 599,Jerry Rice - 22895,Jerry Rice - 23546,Jerry Rice - 1549,Easy,1,Records
216,NFL,What is a pick six,Interception returned for a touchdown,Interception that is fumbled by defense,When the coach picks 6 defensive backs in coverage,Player catches kick without advancing and cannot be hit,Interception returned for a touchdown,Easy,1,Rules
217,NFL,Who was the first overall pick in the 1998 NFL Draft,Peyton Manning,Andrew Luck,Los Angeles Rams,Miami Dolphins - 1972,Peyton Manning,Medium,2,History
218,NFL,Which team has a helmet with no logo,Cleveland Browns,Cleveland Browns,Sack that forces a fumble,Chris Davis,Pittsburgh Steelers,Easy,1,Quirky
219,NFL,Who has the most Super Bowl MVP awards,Tom Brady - 5,Tom Brady - 5,New England Patriots - 5 tied,Dallas Cowboys,Brett Favre - 336,Medium,2,Records
220,NFL,What is the term for scoring 6 points by carrying the ball into the end zone,Touchdown,Touchdown,120 yards,Area between offensive and defensive lines before snap,Offense leader passing and directing plays,Easy,1,Rules
221,NFL,Who kicked the longest field goal in NFL history,Justin Tucker - 66 yards,Justin Tucker - 66 yards,Brett Favre - 336,Tom Brady - 649,Michael Thomas - 149,Easy,1,Records
222,NFL,Which team drafted Aaron Rodgers,Green Bay Packers,Brett Favre - 336,Miami Dolphins - 1972,Cleveland Browns,Green Bay Packers,Medium,2,Players
223,NFL,What does QB stand for,Quarterback,Quarterback,Chicago Bears,Green Bay Packers,Cam Newton,Easy,1,Stats
224,NFL,Who has the most career punt return touchdowns,Devin Hester - 14,Jerry Rice,Devin Hester - 14,Tom Brady - 35,Jerry Rice - 1549,Medium,2,Records
225,NFL,Which team won Super Bowl 50,Denver Broncos,New England Patriots,Denver Broncos,Santonio Holmes,New England Patriots,Easy,1,Championships
226,NFL,Who is the all time leader in receptions,Jerry Rice - 1549,Dan Marino - 1984,Bruce Smith - 200,Jerry Rice - 1549,Robert Mathis - 54,Easy,1,Records
227,NFL,What is a safety worth,2 points,2 points,Illegal pass to avoid sack with no receiver nearby,Interception returned for a touchdown,Defensive touchdown,Easy,1,Rules
228,NFL,Who was known as Sweetness,Walter Payton,Walter Payton,Deion Sanders,Green Bay Packers,Dallas Cowboys,Easy,1,Nicknames
229,NFL,Which team has the most losses in Super Bowl history,New England Patriots - 5 tied,Jerry Rice - 197,Robert Mathis - 54,New England Patriots - 5 tied,Jerry Rice - 22895,Hard,3,Records
230,NFL,What is the name of the championship game,Super Bowl,Illegal block from behind outside vision,Jerry Rice - 1549,Super Bowl,11,Easy,1,Events
231,NFL,Who threw for 7 touchdowns in a single game tying the record,Drew Brees tied record,Tom Brady - 89214,Emmitt Smith - 18355,Drew Brees tied record,Emmitt Smith - 4409,Hard,3,Records
232,NFL,Which team went 0 and 16 in 2008,Detroit Lions,Los Angeles Chargers,Chuck Howley,New England Patriots - 6th round,Detroit Lions,Medium,2,History
233,NFL,What is the term for a fumbled ball recovered by the defense,Turnover,Area between offensive and defensive lines before snap,Turnover,120 yards,Player catches kick without advancing and cannot be hit,Easy,1,Rules
234,NFL,Who has the most career playoff wins as a quarterback,Tom Brady - 35,Michael Strahan - 22.5,Tom Brady - 35,Tom Brady - 89214,Jerry Rice - 22895,Medium,2,Records
235,NFL,Which player was known as The Refrigerator,William Perry,Calvin Johnson,Tom Brady,Green Bay Packers,William Perry,Easy,1,Nicknames
236,NFL,What is a two point conversion,Play after touchdown worth 2 points,Play after touchdown worth 2 points,Touchdown,Field Goal,Extra Point,Easy,1,Rules
237,NFL,Who won Offensive Rookie of the Year in 2020,Justin Herbert,Cam Newton,Aaron Rodgers,Tom Brady,Justin Herbert,Medium,2,Awards
238,NFL,Which team has a pirate logo,Tampa Bay Buccaneers,Chuck Howley,Tampa Bay Buccaneers,Green Bay Packers,Dan Marino - 1984,Easy,1,Teams
239,NFL,Who has the most career rushing touchdowns,Emmitt Smith - 164,Emmitt Smith - 164,Dan Marino - 1984,Don Shula - 347,Tom Brady - 5,Medium,2,Records
240,NFL,What is intentional grounding,Illegal pass to avoid sack with no receiver nearby,Backwards pass,Illegal pass to avoid sack with no receiver nearby,Defensive touchdown,Interception returned for a touchdown,Medium,2,Rules
241,NFL,Who was the MVP of Super Bowl XLII,Eli Manning,Eli Manning,New England Patriots,New England Patriots,New England Patriots - 6 tied,Medium,2,Championships
242,NFL,Which team drafted Tom Brady,New England Patriots - 6th round,New York Giants defeated New England Patriots,New England Patriots - 6th round,Los Angeles Rams,Miami Dolphins - 1972,Easy,1,History
243,NFL,What is a hail mary pass,Long desperation pass at end of game,Sack that forces a fumble,Chris Davis,Calling timeout before a field goal attempt,Long desperation pass at end of game,Easy,1,Quirky
244,NFL,Who has the most career tackles,Ray Lewis - 2059,Michael Strahan - 22.5,Brett Favre - 10169,Ray Lewis - 2059,Drew Brees tied record,Hard,3,Records
245,NFL,Which team moved from Oakland to Las Vegas,Las Vegas Raiders,New England Patriots - 6th round,Los Angeles Rams,Cleveland Browns,Las Vegas Raiders,Easy,1,History
246,NFL,What is the play clock duration,40 seconds,5 yards,Turnover,Free kick,40 seconds,Easy,1,Rules
247,NFL,Who has the most career receiving touchdowns,Jerry Rice - 197,Josh Cribbs - 8 tied,Peyton Manning - 55,Tom Brady - 89214,Jerry Rice - 197,Easy,1,Records
248,NFL,Which team won Super Bowl LI,New England Patriots,Green Bay Packers,New England Patriots,New England Patriots - 6 tied,Denver Broncos,Medium,2,Championships
249,NFL,Who was the first player to rush for 2000 yards in a season,O J Simpson - 2003,O J Simpson - 2003,Adam Vinatieri - 599,Josh Cribbs - 8 tied,Don Shula - 347,Medium,2,Records
250,NFL,What is a blindside block,Illegal block from behind outside vision,2 points,Illegal block from behind outside vision,33 yards,Turnover,Medium,2,Rules
251,NFL,Who holds the record for most career completions,Tom Brady - 7753,Dan Marino - 1984,Emmitt Smith - 18355,Justin Tucker - 66 yards,Tom Brady - 7753,Medium,2,Records
252,NFL,Which team won Super Bowl XLV,Green Bay Packers,Green Bay Packers,Chicago Bears,Santonio Holmes,New England Patriots,Easy,1,Championships
253,NFL,Who has the most career all purpose yards,Jerry Rice - 23546,Jerry Rice - 23546,Willie McGinest - 16,New England Patriots - 5 tied,Robert Mathis - 54,Hard,3,Records
254,NFL,What is the maximum number of players on the field per team,11,12,10,8,11,Easy,1,Rules
255,NFL,Who was the first quarterback to throw for 5000 yards in a season,Dan Marino - 1984,Dan Marino - 1984,Emmitt Smith - 18355,Tom Brady - 649,Adam Vinatieri - 599,Medium,2,Records
256,NFL,Which team went undefeated in the regular season but lost the Super Bowl in 2007,New York Giants defeated New England Patriots,New York Giants defeated New England Patriots,New England Patriots - 6th round,Los Angeles Rams,Andrew Luck,Medium,2,History
257,NFL,Who has the most career forced fumbles,Robert Mathis - 54,Emmitt Smith - 4409,Brett Favre - 10169,Robert Mathis - 54,Tom Brady - 7753,Hard,3,Records
258,NFL,What is the term for a defensive score off a fumble return,Defensive touchdown,Defensive touchdown,Illegal block from behind outside vision,2 points,Player catches kick without advancing and cannot be hit,Easy,1,Rules
259,NFL,Who won Super Bowl XXXVI,New England Patriots,Steelers,New England Patriots,Chicago Bears,Browns,Easy,1,Championships
260,NFL,Which player was nicknamed Megatron,Calvin Johnson,Marshawn Lynch,Phill Simms,Deion Sanders,Calvin Johnson,Easy,1,Nicknames
261,NFL,Who has the most career field goals made,Adam Vinatieri - 599,Dan Marino - 1984,Brett Favre - 336,Adam Vinatieri - 599,Tom Brady - 649,Medium,2,Records
262,NFL,What is the distance of an extra point kick,33 yards,19 yards,33 yards,2 yards,25 yards,Easy,1,Rules
263,NFL,Who was the first overall pick in the 2012 NFL Draft,Andrew Luck,Los Angeles Chargers,Miami Dolphins - 1972,New York Giants defeated New England Patriots,Andrew Luck,Medium,2,History
264,NFL,Which team has the most playoff appearances,Dallas Cowboys,Dallas Cowboys,Paul Krause - 81,Jerry Rice,Tom Brady - 89214,Hard,3,Records
265,NFL,Who holds the record for most sacks in a single season,Michael Strahan - 22.5,Michael Strahan - 22.5,Jerry Rice - 197,Tom Brady - 35,Emmitt Smith - 4409,Medium,2,Records
266,NFL,What is a fair catch,Player catches kick without advancing and cannot be hit,Play after touchdown worth 2 points,33 yards,Player catches kick without advancing and cannot be hit,120 yards,Easy,1,Rules
267,NFL,Who won the 2021 NFL MVP,Aaron Rodgers,Tom Brady,Aaron Rodgers,Justin Herbert,Cam Newton,Easy,1,Awards
268,NFL,Which team is known for the Terrible Towel,Pittsburgh Steelers,Calling timeout before a field goal attempt,Pittsburgh Steelers,Cleveland Browns,Long desperation pass at end of game,Easy,1,Quirky
269,NFL,Who has the most career rushing attempts,Emmitt Smith - 4409,Tom Brady - 7753,Jerry Rice - 22895,Drew Brees tied record,Emmitt Smith - 4409,Hard,3,Records
270,NFL,What is a lateral pass,Backward pass that can be caught by any player,Offense leader passing and directing plays,Free kick,120 yards,Backward pass that can be caught by any player,Medium,2,Rules
271,NFL,Who was the MVP of Super Bowl LIV,Patrick Mahomes,New England Patriots,Santonio Holmes,Patrick Mahomes,Eli Manning,Easy,1,Championships
272,NFL,Which team drafted Lamar Jackson,Baltimore Ravens,Baltimore Ravens,Long desperation pass at end of game,Paul Krause - 81,Jerry Rice - 22895,Medium,2,Players
273,NFL,Who has the most career interceptions as a defender,Paul Krause - 81,Paul Krause - 81,Justin Tucker - 66 yards,New England Patriots - 11,Jerry Rice - 23546,Medium,2,Records
274,NFL,What is the term for kicking the ball after a safety,Free kick,Illegal Kicking,Field Goal,Free kick,Punt,Medium,2,Rules
275,NFL,Who won Super Bowl XX,Chicago Bears,Green Bay Packers,New York Giants,Patriots,Chicago Bears,Easy,1,Championships
276,NFL,Which player was nicknamed Beast Mode,Marshawn Lynch,Calvin Johnson,Dallas Cowboys,Marshawn Lynch,Tom Brady,Easy,1,Nicknames
277,NFL,Who has the most career passing touchdowns in a single season,Peyton Manning - 55,Peyton Manning - 55,Tom Brady - 5,Don Shula - 347,Emmitt Smith - 18355,Medium,2,Records
278,NFL,What is a touchback,Ball placed at the 25 yard line after certain plays,Illegal pass to avoid sack with no receiver nearby,120 yards,Ball placed at the 25 yard line after certain plays,33 yards,Easy,1,Rules
279,NFL,Who was the first defensive player to win Super Bowl MVP,Chuck Howley,Los Angeles Chargers,Miami Dolphins - 1972,Andrew Luck,Chuck Howley,Hard,3,History
280,NFL,Which team has the most consecutive playoff appearances,New England Patriots - 11,New England Patriots - 11,Brett Favre - 10169,Emmitt Smith - 18355,Emmitt Smith - 164,Hard,3,Records
281,NFL,Who has the most career kickoff return touchdowns,Josh Cribbs - 8 tied,Jerry Rice - 1549,Emmitt Smith - 164,Josh Cribbs - 8 tied,Brett Favre - 336,Hard,3,Records
282,NFL,What is the term for a fake handoff play,Play action,Play action,Player catches kick without advancing and cannot be hit,Defensive touchdown,Illegal pass to avoid sack with no receiver nearby,Easy,1,Rules
283,NFL,Who won the 2007 NFL MVP,Tom Brady,Tom Brady,Justin Herbert,Aaron Rodgers,Patrick Mahomes,Medium,2,Awards
284,NFL,Which team moved from San Diego to Los Angeles,Los Angeles Chargers,Cleveland Browns,Los Angeles Chargers,Los Angeles Rams,New York Giants defeated New England Patriots,Easy,1,History
285,NFL,Who has the most career passing attempts,Brett Favre - 10169,Brett Favre - 10169,Jerry Rice,Ray Lewis - 2059,Tom Brady - 89214,Hard,3,Records
286,NFL,What is the penalty for offsides,5 yards,Play action,5 yards,Illegal pass to avoid sack with no receiver nearby,Player catches kick without advancing and cannot be hit,Easy,1,Rules
287,NFL,Who was the MVP of Super Bowl XLIII,Santonio Holmes,Santonio Holmes,Eli Manning,New England Patriots,Patrick Mahomes,Medium,2,Championships
288,NFL,Which team is known as the Cheeseheads,Green Bay Packers,Walter Payton,William Perry,Green Bay Packers,Calvin Johnson,Easy,1,Nicknames
289,NFL,Who has the most career sacks in playoff history,Willie McGinest - 16,Willie McGinest - 16,New England Patriots - 5 tied,Ray Lewis - 2059,Tom Brady - 89214,Hard,3,Records
290,NFL,What is a strip sack,Sack that forces a fumble,Pittsburgh Steelers,Long desperation pass at end of game,Cleveland Browns,Sack that forces a fumble,Easy,1,Quirky
291,NFL,Who won the 2015 NFL MVP,Cam Newton,Cam Newton,Patrick Mahomes,Justin Herbert,Aaron Rodgers,Medium,2,Awards
292,NFL,Which player returned a missed field goal 109 yards for a touchdown,Chris Davis,Pittsburgh Steelers,Chris Davis,Cleveland Browns,Long desperation pass at end of game,Medium,2,Quirky
293,NFL,Who has the most career wins as a head coach,Don Shula - 347,Jerry Rice - 22895,Don Shula - 347,Ray Lewis - 2059,Jerry Rice - 23546,Medium,2,Records
294,NFL,What is the neutral zone,Area between offensive and defensive lines before snap,2 points,40 seconds,Area between offensive and defensive lines before snap,Backward pass that can be caught by any player,Medium,2,Rules
295,NFL,Who was the first player to score 200 touchdowns,Jerry Rice,Dallas Cowboys,Jerry Rice - 22895,Brett Favre - 336,Jerry Rice,Hard,3,Records
296,NFL,Which team has never appeared in a Super Bowl,Cleveland Browns,Andrew Luck,Peyton Manning,Los Angeles Chargers,Cleveland Browns,Easy,1,History
297,NFL,Who has the most career receptions in a single season,Michael Thomas - 149,Michael Thomas - 149,Willie McGinest - 16,Jerry Rice - 1549,Drew Brees tied record,Medium,2,Records
298,NFL,What is icing the kicker,Calling timeout before a field goal attempt,Pittsburgh Steelers,Calling timeout before a field goal attempt,Chris Davis,Sack that forces a fumble,Easy,1,Quirky
299,NFL,Who won Super Bowl XLIX,New England Patriots,Chicago Bears,Denver Broncos,New England Patriots - 6 tied,New England Patriots,Easy,1,Championships
300,NFL,Which player was known as Prime Time,Deion Sanders,Deion Sanders,Walter Payton,Calvin Johnson,Tom Brady,Easy,1,Nicknames
301,NHL,Who holds the record for most career goals,Wayne Gretzky - 894,Wayne Gretzky,Wayne Gretzky - 894,Martin Brodeur - 691,Wayne Gretzky - 92,Easy,1,Records
302,NHL,Which team has won the most Stanley Cups,Montreal Canadiens - 24,New York Islanders,Pittsburgh Penguins,St Louis Blues,Montreal Canadiens - 24,Easy,1,Championships
303,NHL,Who is known as The Great One,Wayne Gretzky,Wayne Gretzky,Teemu Selanne,Bobby Hull,Gordie Howe,Easy,1,Nicknames
304,NHL,What trophy is awarded to the NHL champion,Stanley Cup,Stanley Cup,Los Angeles Kings,Chicago Blackhawks 2010 ended long drought,Patrick Marleau - 1779,Easy,1,Awards
305,NHL,Who has the most career assists,Wayne Gretzky - 1963,Wayne Gretzky - 894,Jaromir Jagr,Wayne Gretzky - 1963,Martin Brodeur,Easy,1,Records
306,NHL,What year was the NHL founded,1917,1917,1918,1919,1927,Medium,2,History
307,NHL,Which team plays at Madison Square Garden,New York Rangers,Three goals in one game,Wayne Gretzky - 92,Carolina Hurricanes,New York Rangers,Easy,1,Teams
308,NHL,Who has the most career points,Wayne Gretzky - 2857,Wayne Gretzky - 1963,Wayne Gretzky - 2857,Ray Bourque,Wayne Gretzky - 894,Easy,1,Records
309,NHL,What is a hat trick,Three goals in one game,Magician pulling rabbit from hat,Three goals in one game,Immediate shot off a pass,Assist and Goal in same game,Easy,1,Rules
310,NHL,Who won the 2020 Stanley Cup,Tampa Bay Lightning,Tampa Bay Lightning,St Louis Blues,Chicago Blackhawks,New Jersey Devils,Easy,1,Championships
311,NHL,Which player is known as Super Mario,Mario Lemieux,Alexander Ovechkin,Sidney Crosby,Mario Lemieux,Bobby Hull,Easy,1,Nicknames
312,NHL,How many periods are in a regulation NHL game,3,18 skaters plus 2 goalies,Illegal hit into boards,Line dividing zones,3,Easy,1,Rules
313,NHL,Who has the most career wins as a goalie,Martin Brodeur - 691,Tiger Williams - 3966,Dominik Hasek,Martin Brodeur - 1266,Martin Brodeur - 691,Medium,2,Records
314,NHL,Which team ended a 108 year championship drought similar to Cubs,Chicago Blackhawks 2010 ended long drought,Borje Salming,Winnipeg Jets,Chicago Blackhawks 2010 ended long drought,New York Islanders 1980 to 1983,Hard,3,History
315,NHL,Who won the 2019 Stanley Cup,St Louis Blues,St Louis Blues,Los Angeles Kings,Montreal Canadiens - 24,Carolina Hurricanes,Easy,1,Championships
316,NHL,What is icing in hockey,Shooting puck across two lines without touch,18 skaters plus 2 goalies,Method to start play,Obstructing a player without puck,Shooting puck across two lines without touch,Medium,2,Rules
317,NHL,Who has the most career shutouts,Martin Brodeur - 125,Martin Brodeur - 125,Ray Bourque,Patrick Roy - 151,Ray Bourque - 410,Medium,2,Records
318,NHL,Which teams are known as the Original Six,Boston Bruins Chicago Blackhawks Detroit Red Wings Montreal Canadiens New York Rangers Toronto Maple Leafs,Boston Bruins Chicago Blackhawks Detroit Red Wings Montreal Canadiens New York Rangers Toronto Maple Leafs,Boston Bruins Chicago Blackhawks Detroit Red Wings Buffalo Sabers New York Rangers Toronto Maple Leafs,Boston Bruins Chicago Blackhawks Detroit Red Wings Buffalo Sabers New York Rangers Florida Panters,New Jersey Devils Chicago Blackhawks Detroit Red Wings Montreal Canadiens New York Rangers Toronto Maple Leafs,Medium,2,History
319,NHL,Who has the most goals in a single season,Wayne Gretzky - 92,Dominik Hasek,Wayne Gretzky - 50,Martin Brodeur,Wayne Gretzky - 92,Medium,2,Records
320,NHL,What is a power play,Man advantage due to penalty,Defending while shorthanded,Entering zone before puck,Using stick to push opponent,Man advantage due to penalty,Easy,1,Rules
321,NHL,Who won the 2016 Stanley Cup,Pittsburgh Penguins,Pittsburgh Penguins,Tampa Bay Lightning,New Jersey Devils,Chicago Blackhawks,Easy,1,Championships
322,NHL,Which player is known as The Golden Jet,Bobby Hull,Bobby Hull,Sidney Crosby,Mario Lemieux,Mark Messier,Easy,1,Nicknames
323,NHL,Who has the most penalty minutes,Tiger Williams - 3966,Wayne Gretzky - 122,Wayne Gretzky,Tiger Williams - 3966,Ray Bourque,Hard,3,Records
324,NHL,What is offsides in hockey,Entering zone before puck,Entering zone before puck,Coach on the ice,Goalie is outside the semi-circle,Defensive player lines up over line of scrimmage,Easy,1,Rules
325,NHL,Who has the most career playoff goals,Wayne Gretzky - 122,Paul Coffey,Patrick Roy - 151,Wayne Gretzky - 122,Wayne Gretzky - 894,Medium,2,Records
326,NHL,Which team has a mascot named Gritty,Philadelphia Flyers,Colorado Avalanche,New Jersey Devils,Stanley Cup,Philadelphia Flyers,Easy,1,Quirky
327,NHL,Who won the 2008 Stanley Cup,Detroit Red Wings,Detroit Red Wings,Montreal Canadiens - 24,Pittsburgh Penguins,Chicago Blackhawks,Easy,1,Championships
328,NHL,What is a slap shot,Powerful full swing shot,Illegal hit into boards,Powerful full swing shot,Uncontested shot due to foul,Shooting puck across two lines without touch,Easy,1,Rules
329,NHL,Who has the most career points by a defenseman,Ray Bourque - 1579,Ray Bourque - 1579,Wayne Gretzky - 2857,Wayne Gretzky,Paul Coffey,Hard,3,Records
330,NHL,Which team relocated from Quebec to Colorado,Colorado Avalanche,Maurice Richard,Borje Salming,Carolina Hurricanes,Colorado Avalanche,Medium,2,History
331,NHL,Who won the Hart Trophy in 2015,Carey Price,Carey Price,Borje Salming,Wayne Gretzky,Mark Messier,Hard,3,Awards
332,NHL,What is a shootout,One on one attempts to break tie,One on one attempts to break tie,Using stick to push opponent,Immediate shot off a pass,Entering zone before puck,Easy,1,Rules
333,NHL,Who has the most career playoff points,Wayne Gretzky - 382,Wayne Gretzky - 1963,Wayne Gretzky - 894,Patrick Roy - 151,Wayne Gretzky - 382,Medium,2,Records
334,NHL,Which player is known as Sid the Kid,Sidney Crosby,Alexander Ovechkin,Sidney Crosby,Mario Lemieux,Mark Messier,Easy,1,Nicknames
335,NHL,Who won the 2013 Stanley Cup,Chicago Blackhawks,Chicago Blackhawks,Tampa Bay Lightning,Colorado Avalanche,New York Rangers,Easy,1,Championships
336,NHL,What is a penalty kill,Defending while shorthanded,Defending while shorthanded,Missing multiple teeth,Immediate shot off a pass,Illegal hit into boards,Easy,1,Rules
337,NHL,Who has the most career games played,Patrick Marleau - 1779,Patrick Marleau - 1779,Wayne Gretzky - 92,Ray Bourque,Ray Bourque - 1579,Medium,2,Records
338,NHL,Which team moved from Atlanta to Winnipeg,Winnipeg Jets,Winnipeg Jets,Carolina Hurricanes,Dallas Stars,Boston Bruins Chicago Blackhawks Detroit Red Wings Montreal Canadiens New York Rangers Toronto Maple Leafs,Medium,2,History
339,NHL,Who has the most career goals by a defenseman,Ray Bourque,Dominik Hasek,Wayne Gretzky - 92,Ray Bourque - 410,Ray Bourque,Hard,3,Records
340,NHL,What is a blue line,Line dividing zones,Obstructing a player without puck,Using stick to push opponent,Defending while shorthanded,Line dividing zones,Easy,1,Rules
341,NHL,Who won the 2001 Stanley Cup,Colorado Avalanche,New Jersey Devils,Pittsburgh Penguins,Montreal Canadiens,Colorado Avalanche,Easy,1,Championships
342,NHL,Which player is known as The Dominator,Dominik Hasek,Dominik Hasek,Sidney Crosby,Teemu Selanne,Gordie Howe,Easy,1,Nicknames
